k,arm,regime,c_bar,N,V,PoR_pct,G_pct,real_cap_broken,real_wl_broken,real_wl_max_ratio
1,A_baseline,real,1.0,466640,130120,0.0,0.0,0,0,1.0
2,B_closures,real,1.4875345430376625,480467,134453,2.963,-3.33,0,0,0.999
2,Cpp_closures,fair,1.4875345430376625,485095,136082,3.955,-4.582,0,5,1.069
2,Dpp_nominal,fair,1.4875345430376625,466086,129819,-0.119,0.231,0,5,1.062
2,oldD_slack,loose,1.4875345430376625,464813,129529,-0.392,0.454,0,9,2.629
3,B_closures,real,1.8187486465394314,479971,134340,2.857,-3.243,0,0,0.999
3,Cpp_closures,fair,1.8187486465394314,474972,133217,1.786,-2.38,0,4,1.062
3,Dpp_nominal,fair,1.8187486465394314,468511,131322,0.401,-0.924,0,5,1.143
3,oldD_slack,loose,1.8187486465394314,450539,125780,-3.45,3.335,0,9,2.773
4,B_closures,real,2.071667013969756,478656,132957,2.575,-2.18,0,0,0.998
4,Cpp_closures,fair,2.071667013969756,475813,132353,1.966,-1.716,0,7,1.233
4,Dpp_nominal,fair,2.071667013969756,465012,129779,-0.349,0.262,0,8,1.263
4,oldD_slack,loose,2.071667013969756,437738,122828,-6.194,5.604,0,10,1.794
6,B_closures,real,2.4298291132603045,470779,131342,0.887,-0.939,0,0,1.0
6,Cpp_closures,fair,2.4298291132603045,477718,133181,2.374,-2.352,0,6,1.253
6,Dpp_nominal,fair,2.4298291132603045,457508,127627,-1.957,1.916,0,8,1.509
6,oldD_slack,loose,2.4298291132603045,439722,123202,-5.768,5.317,0,8,2.5
10,B_closures,real,3.0217902044185125,468544,130093,0.408,0.021,0,0,1.0
10,Cpp_closures,fair,3.0217902044185125,475475,133397,1.893,-2.518,0,6,1.187
10,Dpp_nominal,fair,3.0217902044185125,458201,127690,-1.808,1.868,0,7,1.253
10,oldD_slack,loose,3.0217902044185125,427304,119809,-8.43,7.924,0,7,2.436
15,B_closures,real,3.615559995587208,480433,133762,2.956,-2.799,0,0,0.999
15,Cpp_closures,fair,3.615559995587208,471274,131858,0.993,-1.336,0,7,1.445
15,Dpp_nominal,fair,3.615559995587208,457107,128576,-2.043,1.187,0,5,1.726
15,oldD_slack,loose,3.615559995587208,430632,120728,-7.716,7.218,0,7,2.473
20,B_closures,real,4.165323080401346,468122,130856,0.318,-0.566,0,0,1.0
20,Cpp_closures,fair,4.165323080401346,466868,130878,0.049,-0.583,0,8,1.341
20,Dpp_nominal,fair,4.165323080401346,455503,128115,-2.387,1.541,0,6,1.793
20,oldD_slack,loose,4.165323080401346,426334,119042,-8.637,8.514,0,7,2.81
