k,arm,c_bar,N,V,PoR_pct,G_pct,real_cap_broken,real_wl_broken,real_wl_max_ratio
2,Cprime_closures,1.4875345430376625,501412,139594,7.478,-7.321,0,7,5.488
2,Dprime_nominal,1.4875345430376625,492707,136897,5.612,-5.247,0,6,2.906
3,Cprime_closures,1.8187486465394314,505216,140800,8.293,-8.248,0,7,4.2
3,Dprime_nominal,1.8187486465394314,492547,137191,5.578,-5.473,0,7,3.463
4,Cprime_closures,2.071667013969756,496055,138443,6.33,-6.436,0,8,2.706
4,Dprime_nominal,2.071667013969756,485543,136054,4.076,-4.599,0,7,6.326
6,Cprime_closures,2.4298291132603045,498696,139606,6.896,-7.33,0,9,2.931
6,Dprime_nominal,2.4298291132603045,487800,136052,4.56,-4.597,0,6,3.684
10,Cprime_closures,3.0217902044185125,489452,137465,4.914,-5.684,0,7,2.669
10,Dprime_nominal,3.0217902044185125,482467,135309,3.417,-4.026,0,9,3.144
