PRODUCT_ID;REAL_LINES;VOLUME;FREQUENCY
74;2;4609000;0.034615385
1952;6;138000;0.811538462
1953;4;477000;0.915384615
1974;1;955188;0.034615385
4427;1;336140;0.069230769
7084;1;2560;0.007692308
7266;1;4096;0.015384615
7267;1;4096;0.034615385
7268;1;4096;0.023076923
7291;1;4096;0.038461538
7303;1;4096;0.030769231
7323;1;4096;0.030769231
7581;1;2560;0.023076923
7582;1;2560;0.030769231
7583;2;2560;0.034615385
7584;3;2560;0.026923077
7585;1;2560;0.034615385
7586;2;2560;0.023076923
7587;2;2560;0.023076923
7588;1;2560;0.015384615
7589;3;2560;0.026923077
7590;1;2560;0.030769231
7591;1;2560;0.026923077
7592;1;2560;0.015384615
7594;1;2560;0.003846154
7595;2;2560;0.026923077
7596;1;2560;0.019230769
7597;1;2560;0.015384615
7598;2;2560;0.011538462
7599;1;2560;0.03030303
7600;1;2560;0.007692308
7601;1;2560;0.011538462
7602;1;2560;0.007692308
7603;1;2560;0.019230769
7604;1;2560;0.007692308
7605;2;2560;0.023076923
7606;1;2560;0.015384615
7607;1;2560;0.015384615
7608;2;2560;0.011538462
7609;1;2560;0.007692308
7610;3;2560;0.023076923
7611;1;2560;0.015151515
7612;1;2560;0.007692308
7613;1;2560;0.015384615
7614;1;2560;0.011538462
7616;1;2560;0.015384615
7619;2;92340;0.042307692
7621;1;77792;0.057692308
7743;1;123120;0.053846154
7745;2;123120;0.053846154
7746;1;196596;0.038461538
7747;1;4096;0.030769231
7777;1;89856;0.019230769
10048;2;406800;0.142307692
10405;2;3150000;0.115384615
11267;2;70000;0.103846154
17955;4;3072;0.411538462
20843;1;5742000;0.030769231
20845;2;5742000;0.092307692
20847;2;5742000;0.080769231
20849;2;8400000;0.126923077
20853;2;5742000;0.180769231
20857;1;5652738;0.307692308
20862;3;3150000;0.426923077
20866;2;6633081;0.342307692
20871;5;5519690;0.565384615
20876;2;4560000;0.142307692
24018;1;3969000;0.396153846
26582;6;7657000;2.223076923
26583;3;6409000;0.269230769
26839;1;570350;0.038461538
28366;4;2851839;0.411538462
28568;2;262988;0.076923077
28903;4;1784750;0.384615385
30214;1;242176;0.042307692
30215;2;3060000;0.157692308
30221;1;437760;0.080769231
30709;2;206492;0.05
30710;3;303750;0.088461538
31142;1;1090600;0.073076923
31143;1;601664;0.126923077
31145;1;1058346;0.015384615
31157;1;270848;0.046153846
31169;1;47187;0.080769231
38249;8;8103375;0.996153846
39096;1;48750;0.05
39215;1;3916800;0.05
39535;1;48000;0.011538462
40351;4;702000;0.492307692
40353;3;510000;0.2
40357;1;290871;0.115384615
40358;1;507520;0.023076923
40618;2;14302160;0.169230769
40643;10;5100000;2.638461538
40644;6;4545750;0.5
41057;1;276210;0.026923077
41058;1;283030;0.084615385
41059;1;480000;0.042307692
45454;3;2581425;0.592307692
45455;5;3251016;0.207692308
45456;1;3219840;0.038461538
47408;2;4140000;0.111538462
47409;1;3888000;0.084615385
47410;3;5824000;0.096153846
47412;2;4860000;0.057692308
47935;4;285000;0.396153846
47936;2;780000;0.419230769
47937;1;357000;0.153846154
47938;3;475000;0.242307692
47939;2;240000;0.05
49147;2;1729000;0.15
49766;5;395250;0.507692308
50968;12;3200;1.080769231
51058;1;388500;0.007692308
51343;8;6656000;0.865384615
51731;5;528000;0.565384615
51741;2;503152;0.157692308
53217;1;6049722;0.011538462
53369;1;1863875;0.073076923
56418;2;3272500;0.092307692
56420;2;4920804;0.107692308
56423;1;6885000;0.038461538
58146;3;432000;0.453846154
58235;3;786708;0.211538462
58531;4;780800;0.707692308
59725;3;1029000;0.269230769
60208;10;128000;1.276923077
60459;10;23120;1.369230769
60579;116;2193750;18.18461538
61787;2;27000;0.038461538
62018;1;2383360;0.042307692
62178;1;291600;0.238461538
62187;2;360000;0.330769231
62190;3;490000;0.365384615
62192;4;539100;0.419230769
62217;2;820125;0.169230769
62222;4;952000;0.2
62992;1;60480;0.073076923
67729;3;259200;0.246153846
70402;1;64;0.084615385
71353;2;48000;0.05
73337;2;44944;0.084615385
74068;5;354750;0.384615385
74718;1;1820;0.165384615
76491;1;30926;0.069230769
