PRODUCT_ID;REAL_LINES;VOLUME;FREQUENCY
74;9;4609000;0.034615385
1952;211;138000;0.811538462
1953;237;477000;0.915384615
1974;9;955188;0.034615385
4427;18;336140;0.069230769
7084;2;2560;0.007692308
7266;4;4096;0.015384615
7267;9;4096;0.034615385
7268;6;4096;0.023076923
7291;10;4096;0.038461538
7303;8;4096;0.030769231
7323;8;4096;0.030769231
7581;6;2560;0.023076923
7582;8;2560;0.030769231
7583;9;2560;0.034615385
7584;7;2560;0.026923077
7585;9;2560;0.034615385
7586;6;2560;0.023076923
7587;6;2560;0.023076923
7588;4;2560;0.015384615
7589;7;2560;0.026923077
7590;8;2560;0.030769231
7591;7;2560;0.026923077
7592;4;2560;0.015384615
7594;1;2560;0.003846154
7595;7;2560;0.026923077
7596;5;2560;0.019230769
7597;4;2560;0.015384615
7598;3;2560;0.011538462
7599;2;2560;0.03030303
7600;2;2560;0.007692308
7601;3;2560;0.011538462
7602;2;2560;0.007692308
7603;5;2560;0.019230769
7604;2;2560;0.007692308
7605;6;2560;0.023076923
7606;4;2560;0.015384615
7607;4;2560;0.015384615
7608;3;2560;0.011538462
7609;2;2560;0.007692308
7610;6;2560;0.023076923
7611;1;2560;0.015151515
7612;2;2560;0.007692308
7613;4;2560;0.015384615
7614;3;2560;0.011538462
7616;4;2560;0.015384615
7619;11;92340;0.042307692
7621;15;77792;0.057692308
7743;14;123120;0.053846154
7745;14;123120;0.053846154
7746;10;196596;0.038461538
7747;8;4096;0.030769231
7777;5;89856;0.019230769
10048;37;406800;0.142307692
10405;30;3150000;0.115384615
11267;27;70000;0.103846154
17955;107;3072;0.411538462
20843;8;5742000;0.030769231
20845;24;5742000;0.092307692
20847;21;5742000;0.080769231
20849;33;8400000;0.126923077
20853;47;5742000;0.180769231
20857;80;5652738;0.307692308
20862;111;3150000;0.426923077
20866;89;6633081;0.342307692
20871;147;5519690;0.565384615
20876;37;4560000;0.142307692
24018;103;3969000;0.396153846
26582;289;7657000;2.223076923
26583;70;6409000;0.269230769
26839;10;570350;0.038461538
28366;107;2851839;0.411538462
28568;20;262988;0.076923077
28903;100;1784750;0.384615385
30214;11;242176;0.042307692
30215;41;3060000;0.157692308
30221;21;437760;0.080769231
30709;13;206492;0.05
30710;23;303750;0.088461538
31142;19;1090600;0.073076923
31143;33;601664;0.126923077
31145;4;1058346;0.015384615
31157;12;270848;0.046153846
31169;21;47187;0.080769231
38249;259;8103375;0.996153846
39096;13;48750;0.05
39215;13;3916800;0.05
39535;3;48000;0.011538462
40351;128;702000;0.492307692
40353;52;510000;0.2
40357;30;290871;0.115384615
40358;6;507520;0.023076923
40618;44;14302160;0.169230769
40643;684;5100000;2.638461538
40644;129;4545750;0.5
41057;7;276210;0.026923077
41058;22;283030;0.084615385
41059;11;480000;0.042307692
45454;76;2581425;0.592307692
45455;54;3251016;0.207692308
45456;10;3219840;0.038461538
47408;29;4140000;0.111538462
47409;22;3888000;0.084615385
47410;25;5824000;0.096153846
47412;15;4860000;0.057692308
47935;103;285000;0.396153846
47936;109;780000;0.419230769
47937;40;357000;0.153846154
47938;63;475000;0.242307692
47939;13;240000;0.05
49147;39;1729000;0.15
49766;132;395250;0.507692308
50968;281;3200;1.080769231
51058;2;388500;0.007692308
51343;225;6656000;0.865384615
51731;146;528000;0.565384615
51741;41;503152;0.157692308
53217;3;6049722;0.011538462
53369;19;1863875;0.073076923
56418;24;3272500;0.092307692
56420;28;4920804;0.107692308
56423;10;6885000;0.038461538
58146;118;432000;0.453846154
58235;55;786708;0.211538462
58531;182;780800;0.707692308
59725;70;1029000;0.269230769
60208;331;128000;1.276923077
60459;355;23120;1.369230769
60579;4720;2193750;18.18461538
61787;10;27000;0.038461538
62018;11;2383360;0.042307692
62178;62;291600;0.238461538
62187;86;360000;0.330769231
62190;95;490000;0.365384615
62192;109;539100;0.419230769
62217;44;820125;0.169230769
62222;50;952000;0.2
62992;19;60480;0.073076923
67729;64;259200;0.246153846
70402;22;64;0.084615385
71353;13;48000;0.05
73337;22;44944;0.084615385
74068;100;354750;0.384615385
74718;43;1820;0.165384615
76491;18;30926;0.069230769
83241;22;480000;0.084615385
83251;8;528000;0.030769231
87634;24;634800;0.092307692
88594;18;18000;0.069230769
93932;44;26250;0.169230769
201990;39;1989000;0.15
202341;401;1463000;1.546153846
202342;385;1309000;1.480769231
202343;297;1215000;1.142307692
202344;209;1809500;0.803846154
202345;147;1645000;0.565384615
202476;17;117000;0.065384615
202898;25;1656000;0.096153846
202899;60;2160000;0.230769231
202901;18;2070000;0.069230769
202928;1043;26366250;4.015384615
203852;156;6561555;0.6
203854;174;6400000;0.669230769
203856;181;6615000;0.696153846
203857;476;10350000;1.830769231
203858;231;6480000;0.888461538
203859;519;10080000;1.996153846
203860;126;6399000;0.484615385
203861;43;180000;0.165384615
203864;150;4080000;1.153846154
203872;54;400000;0.207692308
203873;45;8200000;0.173076923
203875;12;453250;0.092307692
203876;25;185000;0.096153846
203877;28;185000;0.107692308
203878;72;282796;0.276923077
203879;84;2278500;0.323076923
203982;316;17301000;1.215384615
204741;104;132825;0.4
206040;15;148750;0.057692308
206499;258;324000;0.992307692
206500;221;476100;0.85
206501;54;449250;0.207692308
206502;202;315000;0.776923077
206503;379;476100;1.457692308
206504;29;319500;0.111538462
